,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:32.2,57,0.0350
'0:0:32.3,57,0.0350
'0:0:32.4,57,0.0351
'0:0:32.5,57,0.0351
'0:0:32.6,57,0.0351
'0:0:32.7,57,0.0351
'0:0:32.8,57,0.0351
'0:0:32.9,57,0.0351
'0:0:33.0,57,0.0351
'0:0:33.1,57,0.0351
'0:0:33.2,57,0.0351
'0:0:33.3,57,0.0352
'0:0:33.4,57,0.0352
'0:0:33.5,57,0.0352
'0:0:33.6,57,0.0353
'0:0:33.7,57,0.0352
'0:0:33.8,57,0.0351
'0:0:33.9,57,0.0352
'0:0:34.0,57,0.0352
'0:0:34.1,57,0.0352
'0:0:34.2,57,0.0352
'0:0:34.3,57,0.0351
'0:0:34.4,57,0.0352
'0:0:34.5,57,0.0352
'0:0:34.6,57,0.0351
'0:0:34.7,57,0.0351
'0:0:34.8,57,0.0351
'0:0:34.9,57,0.0351
'0:0:35.0,57,0.0351
'0:0:35.1,57,0.0352
'0:0:35.2,57,0.0352
'0:0:35.3,57,0.0353
'0:0:35.4,57,0.0352
'0:0:35.5,57,0.0351
'0:0:35.6,57,0.0349
'0:0:35.7,57,0.0349
'0:0:35.8,57,0.0351
'0:0:35.9,57,0.0352
'0:0:36.0,57,0.0351
'0:0:36.1,57,0.0350
'0:0:36.2,57,0.0352
'0:0:36.3,57,0.0353
'0:0:36.4,57,0.0352
'0:0:36.5,57,0.0350
'0:0:36.6,66,0.0349
'0:0:36.7,66,0.0348
'0:0:36.8,66,0.0350
'0:0:36.9,66,0.0350
'0:0:37.0,66,0.0350
'0:0:37.1,66,0.0350
'0:0:37.2,66,0.0350
'0:0:37.3,66,0.0351
'0:0:37.4,66,0.0352
'0:0:37.5,66,0.0352
'0:0:37.6,68,0.0352
'0:0:37.7,68,0.0352
'0:0:37.8,68,0.0352
'0:0:37.9,68,0.0352
'0:0:38.0,68,0.0352
'0:0:38.1,74,0.0352
'0:0:38.2,74,0.0352
'0:0:38.3,74,0.0352
'0:0:38.4,74,0.0352
'0:0:38.5,79,0.0352
'0:0:38.6,79,0.0352
'0:0:38.7,79,0.0352
'0:0:38.8,79,0.0352
'0:0:38.9,79,0.0352
'0:0:39.0,79,0.0352
'0:0:39.1,79,0.0352
'0:0:39.2,79,0.0352
'0:0:39.3,78,0.0351
'0:0:39.4,78,0.0352
'0:0:39.5,78,0.0352
'0:0:39.6,78,0.0352
'0:0:39.7,78,0.0352
'0:0:39.8,78,0.0352
'0:0:39.9,78,0.0352
'0:0:40.0,78,0.0352
'0:0:40.1,78,0.0352
'0:0:40.2,80,0.0352
'0:0:40.3,80,0.0352
'0:0:40.4,80,0.0352
'0:0:40.5,80,0.0352
'0:0:40.6,80,0.0352
'0:0:40.7,80,0.0353
'0:0:40.8,80,0.0353
'0:0:40.9,80,0.0352
'0:0:41.0,80,0.0352
'0:0:41.1,80,0.0353
'0:0:41.2,80,0.0352
'0:0:41.3,80,0.0352
'0:0:41.4,80,0.0352
'0:0:41.5,80,0.0352
'0:0:41.6,80,0.0352
'0:0:41.7,80,0.0352
'0:0:41.8,80,0.0352
'0:0:41.9,80,0.0352
'0:0:42.0,80,0.0352
'0:0:42.1,80,0.0353
'0:0:42.2,80,0.0352
'0:0:42.3,80,0.0353
'0:0:42.4,66,0.0353
'0:0:42.5,66,0.0353
'0:0:42.6,66,0.0353
'0:0:42.7,66,0.0353
'0:0:42.8,66,0.0353
'0:0:42.9,66,0.0353
'0:0:43.0,66,0.0352
'0:0:43.1,69,0.0353
'0:0:43.2,69,0.0353
'0:0:43.3,69,0.0353
'0:0:43.4,69,0.0353
'0:0:43.5,69,0.0353
'0:0:43.6,69,0.0353
'0:0:43.7,69,0.0353
'0:0:43.8,69,0.0352
'0:0:43.9,69,0.0353
'0:0:44.0,69,0.0353
'0:0:44.1,69,0.0353
'0:0:44.2,69,0.0353
'0:0:44.3,69,0.0353
'0:0:44.4,69,0.0352
'0:0:44.5,69,0.0353
'0:0:44.6,60,0.0353
'0:0:44.7,60,0.0353
'0:0:44.8,60,0.0353
'0:0:44.9,60,0.0353
'0:0:45.0,60,0.0352
'0:0:45.1,60,0.0353
'0:0:45.2,60,0.0353
'0:0:45.3,60,0.0353
'0:0:45.4,60,0.0353
'0:0:45.5,60,0.0353
'0:0:45.6,60,0.0353
'0:0:45.7,60,0.0353
'0:0:45.8,58,0.0353
'0:0:45.9,58,0.0353
'0:0:46.0,58,0.0353
'0:0:46.1,58,0.0353
'0:0:46.2,58,0.0353
'0:0:46.3,58,0.0353
