,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:16.2,69,0.1138
'0:0:16.3,69,0.1143
'0:0:16.4,69,0.1146
'0:0:16.5,69,0.1149
'0:0:16.6,69,0.1150
'0:0:16.7,69,0.1150
'0:0:16.8,69,0.1154
'0:0:16.9,69,0.1154
'0:0:17.0,69,0.1154
'0:0:17.1,69,0.1153
'0:0:17.2,69,0.1152
'0:0:17.3,69,0.1151
'0:0:17.4,69,0.1151
'0:0:17.5,69,0.1150
'0:0:17.6,69,0.1150
'0:0:17.7,69,0.1147
'0:0:17.8,69,0.1149
'0:0:17.9,69,0.1149
'0:0:18.0,69,0.1149
'0:0:18.1,69,0.1150
'0:0:18.2,69,0.1150
'0:0:18.3,69,0.1149
'0:0:18.4,69,0.1149
'0:0:18.5,69,0.1149
'0:0:18.6,69,0.1148
'0:0:18.7,69,0.1148
'0:0:18.8,69,0.1148
'0:0:18.9,69,0.1149
'0:0:19.0,69,0.1149
'0:0:19.1,69,0.1149
'0:0:19.2,69,0.1149
'0:0:19.3,69,0.1149
'0:0:19.4,69,0.1149
'0:0:19.5,69,0.1150
'0:0:19.6,69,0.1151
'0:0:19.7,69,0.1153
'0:0:19.8,69,0.1155
'0:0:19.9,69,0.1157
'0:0:20.0,69,0.1158
'0:0:20.1,69,0.1159
'0:0:20.2,69,0.1159
'0:0:20.3,69,0.1160
'0:0:20.4,69,0.1161
'0:0:20.5,69,0.1161
